h1-h3 f8-i8 f10-i10 d6-d3,0,0,Ongoing
d1-d3 e5-e2 g1-g3 f4-c4 g3-e3xe2,1,0,Ongoing
d1-d3 e5-e2 f2-i2 d6-d9 a5-c5 e7-b7 a8-b8xb7,1,0,Ongoing
e1-e2 d6-d3 b6-b3 f8-i8 f10-i10 e7-b7,0,0,Ongoing
b6-b10 f4-c4 a4-b4 d6-d4 d1-d3 e6-b6 e1-c1 f6-c6 d11-c11,0,0,Ongoing
d1-d3 h6-h3 k4-k3 g7-g9 h11-i11 g6-i6 h1-i1 g5-j5,0,0,Ongoing
h1-h3 f4-i4 g1-i1 g5-g3 h3-i3 f5-i5 d1-d3 g3-g2 f2-c2 g2-i2xi3 j6-j2 f6-f3 k4-k3 g6-g1 b6-b3 h6-j6 k8-i8 f3-h3 h11-h9 h3-h8 k7-j7 g7-g10 h9-h10xg10 h8-h9 j7-j9 h9-a9 f10-a10 a9-i9 d11-d9 f7-i7xi8 g11-i11 f8-k8 j9-j10 i9-k9 j10-k10 i5-j5 h10-h6 i7-i6 k5-k4 j5-k5 a10-j10 g1-g6xh6 a8-i8 e7-k7xk6xk6 j10-j8 k9-j9 k10-j10 j6-j7xj8 a7-h7 e5-j5 d3-i3xi2 j7-i7 a5-i5xi4 g6-g7xh7 f11-h11 j9-k9 j10-k10 k9-i9xi8 k10-j10 i9-i10 f1-f10 k8-k10xj10,3,9,White
d1-d3 f8-i8 j6-j9 e7-e10 j9-e9xe10 d6-d9 f10-f9 g7-g10 e9-e10 h6-h9 k8-j8 g6-g9 k6-i6 f6-h6 a8-h8xi8 f7-h7xh8 f9-f8 h9-j9 k7-i7 h7-h9 i7-i10 h6-h7 i6-i7 e6-j6 i10-j10xj9 j6-j7xi7 d3-i3 h7-i7 h11-i11 h9-k9 i11-i9 i7-h7 g11-i11 h7-h2 k4-k2 h2-j2 h1-j1 g5-g2 i3-g3xg2 j7-j3 k5-k3 f4-k4xk3xk2,4,4,White
a8-e8 d6-d8xe8 d11-d9 e6-d6 a7-d7xd8 f8-d8xd7 a6-a7 e7-b7 e11-b11 e5-b5xb6 d1-b1 d6-a6 h11-h7 g5-g3 f2-f3 d8-a8xa7xa7,1,5,Ongoing
b6-b10 d6-b6 f2-b2 e5-b5 e11-e8 e6-e4 f1-f3 f6-c6 d1-c1 e4-e3 d11-c11 f8-j8 f11-d11 g5-g3xf3 a8-c8 e7-d7 e8-e7,0,1,Ongoing
j6-j10 f8-i8 f10-c10 f7-f10 a7-d7 f6-f9 b6-b9 f9-k9 j10-k10 k9-j9 k10-j10 j9-j1,0,0,White
d11-d9 f4-c4 b6-b3 e5-b5 f2-c2 f5-f2 h1-h3 g5-j5 k4-j4xj5 f6-f4 j4-i4 f4-h4 g1-g2 h6-h10 d9-h9xh10 g7-j7 k8-j8xj7 f7-j7,3,0,Ongoing
a4-c4 d6-d3 b6-b3 e6-c6 a8-c8 f6-d6 d11-d9 e5-c5 c4-c2 c5-b5 a7-b7 f4-a4 k4-f4xf5 a4-a3 c2-c3 d6-d4 f2-c2 d4-e4 e1-e3xd3 g5-g4xf4 h1-h4 g4-g3,2,1,Ongoing
d1-d3 e5-e2 g1-g2 d6-d9 f10-d10 h6-h3 j6-j3 g6-j6 k8-i8 j6-j10 a8-d8xd9 f6-j6 i8-j8 j6-i6 h11-i11 i6-i1 j3-j1,1,0,Ongoing
f10-c10 f8-i8 j6-j9 f4-c4 e1-e2 h6-h3 d1-d3 g5-j5 k4-i4 j5-j2 k8-j8 f5-i5 k6-i6xi5 e5-i5 h1-j1 h3-i3xi4 f2-i2 g7-i7xi6 j8-j3xj2 g6-k6 k5-k4 i8-k8xk7 c10-i10 i3-i4 j3-j4 f7-h7,2,3,Ongoing
h1-h3 g5-g2 e1-e3 d6-d3 e3-g3xg2 e5-c5 a5-b5 c5-c2 b5-b2 d3-a3 b2-a2xa3 e6-e3 a4-a3 f5-b5 b6-b9 f6-c6 f10-c10 c2-c1 f1-e1 g6-g5 a6-a4,2,0,Ongoing
g11-g9 h6-h9 g9-g10 g7-j7 k8-j8xj7 f7-j7 j8-i8,1,0,Ongoing
h1-h3 g5-g2 f2-c2 f4-i4 g1-i1 d6-d3,0,0,Ongoing
a7-b7 h6-h3 f2-i2 g5-g2 j6-j3 f8-i8 k8-j8 f4-c4 b6-b3 g2-b2 a4-b4 e7-e10 d11-d10xe10 e6-e10 d1-d4xc4 g7-g10xf10 a8-h8xi8 f7-f10 h8-f8 f6-f7 b7-c7 f10-f9xf8 k7-i7 f9-k9 h11-h9 f7-f8 i7-i10 f8-c8 h9-c9 d6-c6xc7,3,3,Ongoing
d1-d3 e5-e2 g1-g2 h6-h3 h1-h2 d6-d9 b6-b9 f4-c4 e1-c1 g7-j7 k8-j8xj7 g6-g10 j6-h6 e7-e10xf10 k7-k9 d9-j9 j8-i8 e10-b10 a8-b8 f7-c7 h11-h10 f6-f7 h6-h7 f7-d7 a6-d6xe6 f5-d5xd6 f11-f10xg10 d7-d10 e11-e9 b10-a10 e9-c9,3,2,Ongoing
a8-c8 d6-d9 b6-b9 h6-h3 j6-j3 g6-j6 h11-h6 j6-j10 g11-g9 g5-i5 k7-i7 f6-g6 f2-i2 i5-i6xh6 k8-h8 e6-c6 a4-c4 h3-b3 a5-a3 b3-b2,0,1,Ongoing
e1-e3 d6-d3 f2-f3 f8-c8 a4-c4 e7-e10 g11-g9 f7-b7 k8-f8 e5-b5xb6 d11-d10xe10 e6-e9 c4-c3xd3 f6-d6 d1-d4 d6-d9 e11-c11,2,1,Ongoing
e11-e10 h6-h3 j6-j3 g6-j6 k8-i8,0,0,Ongoing
g1-g3 h6-h3 g3-c3 d6-d9,0,0,Ongoing
f2-j2 f4-c4 f10-b10 f5-f2 k4-f4 e5-e4 d1-d4xe4 e6-e4xd4 f4-f3xf2 f6-f4 k5-k3 e4-e3 b6-b2 c4-c1 a5-e5 f4-c4 d11-c11 c4-c2 e1-e2 c1-e1xe2 j2-d2 e3-e2xd2 f3-d3 c2-c1 b2-b1 c1-c10 e11-e10 c10-c1xb1 b10-b1 c1-c10,2,4,White
d1-d3 e5-c5 a4-c4 e7-e9 a8-a9 f8-f9 h11-h9 d6-c6 d11-d6xc6 c5-c6xd6 d3-d6xc6 e6-e3 a5-a3 f7-b7 c4-c7xb7 g5-i5 k8-f8xf9 e9-f9 f8-i8 g7-g8 k4-k3 g8-b8 f10-b10 f5-b5 f2-b2 h6-h3 h1-i1 g6-g2 j6-j2 f6-j6 k7-j7 i5-j5 i1-i5xj5 h3-j3 i5-i3xj3 j6-e6 c7-c11 b8-b7xb6 i3-g3xg2 f4-c4 e1-c1 f9-f8 d6-c6 b5-b6 c6-c7xb7 b6-b9 c11-c9xb9,9,2,Black
k4-i4 e7-e9 d11-d9 d6-d8 a7-d7xd8 e6-e8 f10-f9xe9 f6-c6 a8-c8 c6-c2 b6-b2 f4-b4 c8-c4xb4 c2-c3 a4-a3 e5-c5xc4 a6-c6 c3-c1 b2-b1 h6-h3 i4-f4xf5 c1-c2 b1-b2 c2-c1 b2-b1 c1-c4 b1-b2 h3-b3 d1-c1 c4-b4 d9-b9 b4-b6 h11-h6xg6 e8-e10 e1-e9xe10 g5-g6,6,1,Ongoing
k8-h8 f4-b4 k4-c4xb4 g5-i5 a8-c8 g7-g8 g11-g9 i5-i8xh8 h1-h5 h6-h9 g1-i1 f8-f9xg9 d1-d3 g6-g3 j6-j2 f6-j6 f10-j10 i8-i11 b6-b10 j6-j9 j10-j11xi11 j9-j10,2,2,White
f2-c2 f4-i4 j6-j3 f5-f2 j3-f3xf2 f6-f4 d1-d4 i4-i2 k4-h4 f4-g4 f3-i3 g5-i5 h4-i4 i2-j2 h1-h2 g4-g3 e1-e3 g3-h3 k6-i6xi5 j2-j3xi3 k5-k3 h3-i3 h2-i2 j3-j6xi6 k3-j3 e5-i5xi4 d4-i4 i3-f3 a4-d4 f3-i3xi4 d4-i4 i3-f3 i4-d4 i5-b5 d4-b4xb5 d6-d3xe3 d11-d4 d3-d2 i2-e2xd2 f3-a3 c2-a2 a3-i3 d4-i4 i3-a3xa2 e2-a2 a3-c3 a2-c2 e6-e1 c2-d2 c3-c1 b4-b1 c1-c11 b6-b11 c11-c1xb1 b11-b1 c1-c2 a5-b5,4,7,Ongoing
d1-d3 h6-h3 f2-h2 f4-h4 h1-i1 g7-i7 i1-i3 g5-g3 k4-j4 f8-h8 f10-i10 g6-i6 j6-j9 f7-f9 b6-b9 e7-e10 d11-d10 f6-f7 a4-c4 f7-c7 d10-c10 d6-d11 a5-b5 c7-c9 c10-c11xd11 f5-f2 e1-e2 e10-b10 a8-b8 e5-d5 e11-d11 g3-g10 g1-g2xf2 b10-b11 a7-a10 c9-c10 f11-e11 i7-a7 b8-a8xa7 e6-e8 a10-b10 h3-f3 h2-h3 e8-b8 k7-b7xb8 f3-f7 a8-c8 i6-c6 b9-c9 c10-d10 a6-b6 f7-k7 f1-f4 g10-g4 e2-e4 d5-d4,4,0,Ongoing
h11-h9 f8-i8 k8-j8 i8-i10 j8-j10 g5-g2 h1-h2xg2 g6-g2 k4-i4 e5-e2xf2 f1-f2xg2 g7-g2xf2 d11-d8 f6-g6 j6-j3 g6-g3 a4-a3 g3-i3 g1-i1 i10-i5xi4 h2-j2 i3-b3 d1-b1 e2-a2 a5-a4 b3-c3 e1-c1 e6-e1 a8-c8 h6-h1 k5-k4 c3-f3 c8-c2 e7-e2,2,3,White
d1-d3 f4-c4 b6-b4 c4-c2 b4-b2 h6-h3 f2-d2xc2 f8-i8 f10-i10 d6-d9 a8-a9 i8-a8 b2-b10 e6-c6 d11-c11 d9-d10 a7-b7 f6-d6 a6-a7xa8 f7-f8 f1-f4xf5 g6-i6 h11-h6xi6 g5-i5 h1-i1 i5-i6 h6-h9 g7-g5 h9-h6xi6 f8-j8 a9-j9 j8-i8 k4-k3 c6-c3 b7-b3xc3 d6-a6 a7-a9 i8-i6 g11-h11 a6-g6xh6 h11-h6xi6 g5-g4 f4-f3 e7-h7 k8-h8xh7 d10-h10 b10-g10xh10 e5-b5 k5-c5xb5,10,1,Black
g1-g3 h6-h3 f2-f3 g5-j5 k7-i7 f5-i5 k4-j4xj5 i5-i2 h1-h2 h3-j3 k5-j5 f6-f5 f1-i1 f5-h5 k8-h8 e5-b5 a7-c7 h5-c5 f3-c3 b5-b2 i7-i3xi2 j3-j2 d1-b1 c5-c6 a8-d8 c6-c4 b6-b3xb2 d6-b6 c7-c6xb6 e7-b7 d8-b8 c4-e4 e11-e9 f4-f2 c3-c2 g6-h6 a6-b6xb7 f7-b7 c6-d6xe6 e4-e7 j6-j7 e7-c7 e9-c9 h6-e6 d6-d10 e6-e5 b6-a6 b7-b6 a6-a7 c7-c4 i1-i2 c4-i4 h8-i8 b6-d6 k6-k2xj2 i4-h4 h11-h9 d6-k6 k2-k5 k6-k7 j7-j10 k7-k9 j10-k10 k9-j9 k5-k9 j9-j7 k10-j10 h4-h8 j10-j8 j7-k7 j5-k5 f8-e8 g11-g9 h8-h4 b1-d1 k7-h7 d11-e11 h4-g4 g3-g2 f2-f8 i2-i1 e5-e7 i1-f1 g7-g8 k9-k7 g4-g6 j8-j6 h7-g7 k7-i7 g6-f6 d1-d6 f6-f7 a7-c7 f7-f6 a5-e5 f6-f7 a4-f4 f7-f6 g2-g3,7,0,Black
d1-d3 e5-e2 g1-g2 e2-b2 e1-b1 f4-c4 f1-c1 e7-e10 g11-g9 e10-b10 b6-b8 d6-d9 a8-a9 h6-h9 g9-g10 e6-e1 d3-b3xb2 f6-c6 d11-c11 c6-c10 a9-b9 b10-a10 b9-b10 a10-a9 b10-a10 c10-b10 c11-b11 a9-c9 j6-h6xg6 c9-a9xa10xa10 f2-f4xf5 b10-a10 a7-c7 a10-a11,3,2,White
g1-g3 f8-i8 k5-i5 g7-g10 e11-e9 d6-d9 e9-g9xg10 h6-h9 f10-f9 e7-e10 f11-f10 e5-e3 d1-d3 f7-c7 d11-d10xe10 c7-c3xd3 a8-d8xd9 f6-f7 f10-j10 f7-b7 d8-b8 f5-b5xb6 k7-c7 b7-b6 f2-b2 c3-a3 c7-c2 b6-d6 e1-d1,3,2,Ongoing
g1-g2 e7-e8 b6-b9 f7-b7 f2-b2 f8-j8 k5-i5 f6-f9 h11-h9 f9-c9 a4-c4 c9-c11 b9-b11 c11-c5 f10-c10 d6-d3 a5-a3 d3-c3xc4 d1-c1 j8-j10 g11-j11 e8-i8 f11-i11 f4-i4 g2-i2 i8-i6xi5 j6-j3 e6-e9 b11-b9 f5-f11,0,2,Ongoing
d1-d3 e5-e2 d3-e3xe2 g5-g2 e3-g3xg2 f4-j4 a4-i4xj4 e6-e2 g3-e3xe2 e7-b7 a5-c5 d6-d2 i4-d4 d2-e2 d4-d2xe2 f6-e6 e11-e9 e6-e4 h1-h4 e4-b4 e3-b3 b4-b5xb6 f2-f4xf5 b7-b11 a8-b8 b5-b7 d11-c11xb11 b7-e7 k8-i8 g6-g4 f4-e4 f7-f4 k5-i5 g7-g9 h11-h9 g9-g5 g1-g3 f8-d8 d2-d5 e7-j7 i8-j8 j7-g7 g11-g8 d8-d10 a7-f7 g7-g6 a6-d6 g6-e6 e9-e7 d10-d8 d5-e5,7,1,Black
h1-h3 h6-h9 k8-k9 f8-c8 b6-b9 g7-j7 j6-j2 g6-g10 g1-i1 f6-i6 h11-i11 i6-i10,0,0,White
h1-h3 f8-c8 a5-c5 f4-i4 g1-i1 g5-g2 e1-e2 f5-j5 k4-j4xj5 f6-f3 d1-d3 f3-g3 j4-j2 i4-c4 d3-c3xc4 d6-d10 g11-g9 e7-e9 b6-b9 g3-d3 a7-d7 d3-d6 d7-d9xd10 d6-d8 f10-c10 f7-f9 j6-j9 h6-h9xg9 c3-d3 g7-g10 i1-i10 d8-d4 a4-c4 d4-k4 h3-k3 g2-g1 f2-i2,3,1,Black
g1-g3 f8-c8 a4-c4 e7-e10 d11-d10xe10 e6-e10 g11-g9 c8-c10xd10 g9-e9xe10 f7-c7 e11-c11 f6-f9 e9-c9xc10 e5-e10 f10-g10 f9-k9 g10-k10 k9-d9 j6-j9 e10-b10 b6-b9 g5-j5 k10-i10 h6-h3 i10-i3xh3 d9-d10 h11-h10 b10-b11 b9-b10 d6-b6 a8-b8 d10-d2 a5-a2 d2-b2 d1-b1 f5-a5 g3-a3 b2-e2 c11-e11 g6-g2xf2 k4-j4 g2-i2 j4-j2 i2-i1 f1-g1 e2-i2 k5-k2 f4-i4xi3 k6-k3 i4-i11 k8-i8 i2-i7 h10-i10 g7-g9 i8-i9,4,3,Black
h1-h3 g5-g2 e1-e3 d6-d3 e3-g3xg2 f4-c4 a4-a3 e5-b5 a7-c7 f8-c8 c7-c5xb5 e6-c6xc5 d11-d6xc6 f6-e6 d1-c1 e7-d7 j6-j9 e6-e10 b6-b10 g7-g10xf10 h11-h10 e10-e9 b10-b9 g10-b10 e11-b11xb10 c8-c11xb11 k8-d8xd7 e9-c9 h10-b10 c11-d11 f11-f10 c4-e4 f2-b2 c9-c11 b10-b11 c11-c2 g1-g2 c2-c11xb11 b9-b11 c11-c9 b11-b9 f7-d7 k7-k10 c9-i9 g11-i11 i9-i1 j9-j1 i1-g1 j1-i1 e4-e1xf1 k4-f4xf5 g1-f1 d8-j8 d3-d5xd6 a6-c6 f1-f3 f4-f8 f3-f7 f10-b10 g6-g9 j8-j9 g9-f9xf8 c6-c11 e1-e11 g3-g10 e11-g11 g10-h10 d7-d10 b10-c10 d10-e10 h10-h9 h6-e6 a8-e8 f7-f8 g2-k2 d5-d8xe8 h9-g9 e6-e9 h3-h10 d8-d10 h10-g10 f8-h8 g9-g8 f9-g9xg10 k2-j2 g9-f9 g8-f8 h8-h10 i1-i10 e9-e8,6,9,Ongoing
h1-h3 d6-d3 e11-e8 f8-i8 k5-i5 g7-g9 f10-f9 h6-h9 g11-g10 f7-i7 d11-d7 i8-i10 j6-j10 f6-f8 k8-g8xg9 h9-h8xg8 g10-h10xi10 h8-j8 h10-i10 j8-j2 f2-i2 f8-j8 k6-j6 j8-h8 k4-k2xj2 f4-k4 k2-k3 h8-h4 f1-f4xf5 h4-j4 h3-j3 j4-j5 j6-h6xg6,5,1,Black
h1-h3 f4-i4 k8-i8 g5-g2 e1-e2 g2-j2 f2-i2 g6-g3 f1-f3xg3 g7-g3 k4-k2xj2 i4-i3xh3 a4-i4xi3 g3-k3xk2 i2-k2 k3-j3 k2-j2 j3-g3 f3-d3 f5-j5 k7-i7 f6-f2 k5-k3 f2-f1 g1-i1 e5-b5 i4-b4xb5 j5-b5 b6-b9 f1-e1 e2-c2 b5-c5 d3-c3 h6-h1 f10-c10 e1-f1 h11-h3 g3-g2 h3-h2 f7-f2 c3-e3 f1-e1 g11-g4 e6-e4 i7-f7 e1-e2xe3 k3-c3 c5-i5 g4-i4 i5-g5 c2-d2 g5-g7xf7 a6-c6 d6-h6 a8-e8 g7-g8 c6-e6xe7 h6-h7 a7-d7 h7-h3xh2 a5-d5 h3-k3 i4-i2 f2-f1 b4-d4 f1-e1 d7-f7 e4-f4 d4-e4 f4-f3 c3-e3 g8-g3 i8-g8xf8 k3-h3 b9-b2 g2-h2 f7-f4 h3-h5 d5-g5 h2-h3 i2-f2xf3 g3-g2xf2 f4-f1xe1 e2-f2 e3-f3 h3-h4 k6-k3 h4-f4xf3 f1-g1xh1 f2-f3 d11-d3 f4-f8 g5-g3xg2 f3-f7 d3-d7 f7-k7 g8-k8 k7-j7 k8-j8 f8-f9 j8-j9 h5-j5xj6 c10-i10 j5-d5 b2-b5 j7-e7 timeout,10,8,White
d1-d3 h6-h3 f2-h2 g5-j5 k7-i7 j5-j2 k4-h4xh3 g6-g3 k5-k3 f6-i6 h4-i4 f8-i8xi7 f10-i10 g7-k7 j6-j5 i6-j6 i10-j10 j6-j9 k8-k9 i8-i11 d11-d10 i11-j11xj10 a8-k8xk7 j11-i11 d10-j10 i11-j11xj10 e11-e10 j9-j10 k9-k10 j11-i11 f11-f8xf7 j10-j11 h2-i2 j11-k11,3,3,White
